value_name,value_index,value_format,value_length,value_type,magnification,determine,remark
标度化值001,16435,3byte_int,3,int,1,,
标度化值002,16436,3byte_int,3,int,1,,
标度化值003,16437,3byte_int,3,int,1,,
标度化值004,16438,3byte_int,3,int,1,,
标度化值005,16439,3byte_int,3,int,1,,
标度化值006,16440,3byte_int,3,int,1,,
标度化值007,16441,3byte_int,3,int,1,,
标度化值008,16442,3byte_int,3,int,1,,
标度化值009,16443,3byte_int,3,int,1,,
标度化值010,16444,3byte_int,3,int,1,,
标度化值011,16445,3byte_int,3,int,1,,
标度化值012,16446,3byte_int,3,int,1,,
标度化值013,16447,3byte_int,3,int,1,,
标度化值014,16448,3byte_int,3,int,1,,
标度化值015,16449,3byte_int,3,int,1,,
标度化值016,16450,3byte_int,3,int,1,,
标度化值017,16451,3byte_int,3,int,1,,
标度化值018,16452,3byte_int,3,int,1,,
标度化值019,16453,3byte_int,3,int,1,,
标度化值020,16454,3byte_int,3,int,1,,
标度化值021,16455,3byte_int,3,int,1,,
标度化值022,16456,3byte_int,3,int,1,,
标度化值023,16457,3byte_int,3,int,1,,
标度化值024,16458,3byte_int,3,int,1,,
标度化值025,16459,3byte_int,3,int,1,,
标度化值026,16460,3byte_int,3,int,1,,
标度化值027,16461,3byte_int,3,int,1,,
标度化值028,16462,3byte_int,3,int,1,,
标度化值029,16463,3byte_int,3,int,1,,
标度化值030,16464,3byte_int,3,int,1,,
标度化值031,16465,3byte_int,3,int,1,,
标度化值032,16466,3byte_int,3,int,1,,
标度化值033,16467,3byte_int,3,int,1,,
标度化值034,16468,3byte_int,3,int,1,,
标度化值035,16469,3byte_int,3,int,1,,
标度化值036,16470,3byte_int,3,int,1,,
标度化值037,16471,3byte_int,3,int,1,,
标度化值038,16472,3byte_int,3,int,1,,
标度化值039,16473,3byte_int,3,int,1,,
标度化值040,16474,3byte_int,3,int,1,,
标度化值041,16475,3byte_int,3,int,1,,
标度化值042,16476,3byte_int,3,int,1,,
标度化值043,16477,3byte_int,3,int,1,,
标度化值044,16478,3byte_int,3,int,1,,
标度化值045,16479,3byte_int,3,int,1,,
标度化值046,16480,3byte_int,3,int,1,,
标度化值047,16481,3byte_int,3,int,1,,
标度化值048,16482,3byte_int,3,int,1,,
标度化值049,16483,3byte_int,3,int,1,,
标度化值050,16484,3byte_int,3,int,1,,
标度化值051,16485,3byte_int,3,int,1,,
标度化值052,16486,3byte_int,3,int,1,,
标度化值053,16487,3byte_int,3,int,1,,
标度化值054,16488,3byte_int,3,int,1,,
标度化值055,16489,3byte_int,3,int,1,,
标度化值056,16490,3byte_int,3,int,1,,
标度化值057,16491,3byte_int,3,int,1,,
标度化值058,16492,3byte_int,3,int,1,,
标度化值059,16493,3byte_int,3,int,1,,
标度化值060,16494,3byte_int,3,int,1,,
标度化值061,16495,3byte_int,3,int,1,,
标度化值062,16496,3byte_int,3,int,1,,
标度化值063,16497,3byte_int,3,int,1,,
标度化值064,16498,3byte_int,3,int,1,,
标度化值065,16499,3byte_int,3,int,1,,
标度化值066,16500,3byte_int,3,int,1,,
标度化值067,16501,3byte_int,3,int,1,,
标度化值068,16502,3byte_int,3,int,1,,
标度化值069,16503,3byte_int,3,int,1,,
标度化值070,16504,3byte_int,3,int,1,,
标度化值071,16505,3byte_int,3,int,1,,
标度化值072,16506,3byte_int,3,int,1,,
标度化值073,16507,3byte_int,3,int,1,,
标度化值074,16508,3byte_int,3,int,1,,
标度化值075,16509,3byte_int,3,int,1,,
