value_name,value_target,value_index,bit_index,bit_length,value_type,magnification,determine,remark
系统输出电压,X,100,0,16,int,1,,
系统输出电流,X,101,0,16,float,0.1,,
系统输出功率,X,102,0,16,int,1,,
系统输出频率,X,103,0,16,float,0.1,,
负载比,X,104,0,16,int,1,,
组1输入电压,X,105,0,16,float,0.1,,
组2输入电压,X,106,0,16,float,0.1,,
组3输入电压,X,107,0,16,float,0.1,,
组4输入电压,X,108,0,16,float,0.1,,
逆变器01输出电流,X,109,0,16,string,1,,
逆变器01输出功率,Y,100,0,16,int,1,,
逆变器01温度,Y,101,0,16,float,0.1,,
逆变器02输出电流,Y,102,0,16,int,1,,
逆变器02输出功率,Y,103,0,16,float,0.1,,
逆变器02温度,Y,104,0,16,int,1,,
逆变器03输出电流,Y,105,0,16,float,0.1,,
逆变器03输出功率,Y,106,0,16,float,0.1,,
逆变器03温度,Y,107,0,16,float,0.1,,
逆变器04输出电流,Y,108,0,16,float,0.1,,
逆变器04输出功率,Y,109,0,16,string,1,,
逆变器04温度,S,100,0,16,int,1,,
逆变器05输出电流,S,101,0,16,float,0.1,,
逆变器05输出功率,S,102,0,16,int,1,,
逆变器05温度,S,103,0,16,float,0.1,,
逆变器06输出电流,S,104,0,16,int,1,,
逆变器06输出功率,S,105,0,16,float,0.1,,
逆变器06温度,S,106,0,16,float,0.1,,
逆变器07输出电流,S,107,0,16,float,0.1,,
逆变器07输出功率,S,108,0,16,string,1,,
逆变器07温度,M,100,0,16,int,1,,
逆变器08输出电流,M,101,0,16,float,0.1,,
逆变器08输出功率,M,102,0,16,int,1,,
逆变器08温度,M,103,0,16,float,0.1,,
逆变器09输出电流,M,104,0,16,int,1,,
逆变器09输出功率,M,105,0,16,float,0.1,,
逆变器09温度,M,106,0,16,float,0.1,,
逆变器10输出电流,M,107,0,16,float,0.1,,
逆变器10输出功率,M,108,0,16,string,1,,
逆变器10温度,T,100,0,16,int,1,,
逆变器11输出电流,T,101,0,16,float,0.1,,
逆变器11输出功率,T,102,0,16,int,1,,
逆变器11温度,T,103,0,16,float,0.1,,
逆变器12输出电流,T,104,0,16,int,1,,
逆变器12输出功率,T,105,0,16,float,0.1,,
逆变器12温度,T,106,0,16,float,0.1,,
逆变器13输出电流,T,107,0,16,float,0.1,,
逆变器13输出功率,T,108,0,16,string,1,,
逆变器13温度,T,109,0,16,int,1,,
逆变器14输出电流,D,100,0,16,int,1,,
逆变器14输出功率,D,101,0,16,float,0.1,,
逆变器14温度,D,102,0,16,int,1,,
逆变器15输出电流,D,103,0,16,float,0.1,,
逆变器15输出功率,D,104,0,16,int,1,,
逆变器15温度,D,105,0,16,float,0.1,,
逆变器16输出电流,D,106,0,16,float,0.1,,
逆变器16输出功率,D,107,0,16,float,0.1,,
逆变器17输出功率,D,108,0,16,string,1,,
逆变器18输出功率,D,109,0,16,int,1,,
