value_name,value_index,remark
ÏßÈ¦×´Ì¬1,0,
ÏßÈ¦×´Ì¬2,1,
ÏßÈ¦×´Ì¬3,2,
ÏßÈ¦×´Ì¬4,3,
ÏßÈ¦×´Ì¬5,4,
ÏßÈ¦×´Ì¬6,5,
ÏßÈ¦×´Ì¬7,6,
ÏßÈ¦×´Ì¬8,7,
ÏßÈ¦×´Ì¬9,8,
ÏßÈ¦×´Ì¬10,10,
ÏßÈ¦×´Ì¬11,11,
ÏßÈ¦×´Ì¬12,12,
ÏßÈ¦×´Ì¬13,13,
ÏßÈ¦×´Ì¬14,14,
ÏßÈ¦×´Ì¬15,15,
ÏßÈ¦×´Ì¬16,16,
ÏßÈ¦×´Ì¬17,17,
ÏßÈ¦×´Ì¬18,18,
ÏßÈ¦×´Ì¬19,19,
ÏßÈ¦×´Ì¬20,20,
ÏßÈ¦×´Ì¬21,21,
ÏßÈ¦×´Ì¬22,22,
ÏßÈ¦×´Ì¬23,23,
ÏßÈ¦×´Ì¬24,24,
ÏßÈ¦×´Ì¬25,25,
ÏßÈ¦×´Ì¬26,26,
ÏßÈ¦×´Ì¬27,27,
ÏßÈ¦×´Ì¬28,28,
ÏßÈ¦×´Ì¬29,29,
ÏßÈ¦×´Ì¬30,30,
ÏßÈ¦×´Ì¬31,31,
ÏßÈ¦×´Ì¬32,32,
ÏßÈ¦×´Ì¬33,33,
ÏßÈ¦×´Ì¬34,34,
ÏßÈ¦×´Ì¬35,35,
ÏßÈ¦×´Ì¬36,36,
ÏßÈ¦×´Ì¬37,37,
ÏßÈ¦×´Ì¬38,38,
ÏßÈ¦×´Ì¬39,39,
ÏßÈ¦×´Ì¬40,40,
ÏßÈ¦×´Ì¬41,41,
ÏßÈ¦×´Ì¬42,42,
ÏßÈ¦×´Ì¬43,43,
ÏßÈ¦×´Ì¬44,44,
ÏßÈ¦×´Ì¬45,45,
ÏßÈ¦×´Ì¬46,46,
ÏßÈ¦×´Ì¬47,47,
ÏßÈ¦×´Ì¬48,48,
ÏßÈ¦×´Ì¬49,49,
ÏßÈ¦×´Ì¬50,50,
ÏßÈ¦×´Ì¬51,51,
ÏßÈ¦×´Ì¬52,52,
ÏßÈ¦×´Ì¬53,53,
ÏßÈ¦×´Ì¬54,54,
ÏßÈ¦×´Ì¬55,55,
ÏßÈ¦×´Ì¬56,56,
ÏßÈ¦×´Ì¬57,57,
